"activityID"|"subjectID"|"activityID"|"subjectID"|"frequencyBodyAccMeanFreqX"|"frequencyBodyAccMeanFreqY"|"frequencyBodyAccMeanFreqZ"|"frequencyBodyAccJerkMeanFreqX"|"frequencyBodyAccJerkMeanFreqY"|"frequencyBodyAccJerkMeanFreqZ"|"frequencyBodyGyroMeanFreqX"|"frequencyBodyGyroMeanFreqY"|"frequencyBodyGyroMeanFreqZ"|"frequencyBodyAccMagMeanFreq"|"frequencyBodyBodyAccJerkMagMeanFreq"|"frequencyBodyBodyGyroMagMeanFreq"|"frequencyBodyBodyGyroJerkMagMeanFreq"|"angletBodyAccMean_gravity"|"angletBodyAccJerkMean_gravityMean"|"angletBodyGyroMean_gravityMean"|"angletBodyGyroJerkMean_gravityMean"
1|1|1|1|-0.207548374494737|0.113093646103158|0.0497265196172632|-0.209261973376842|-0.386237143210526|-0.185530281244211|0.0147844986621053|-0.0657746190010526|0.00077332156431579|0.1906437244|0.0938221807027368|0.268844367525895|0.190663448793684|0.0604537474147368|-0.00793037848421052|0.0130594907157895|-0.0187431910452632
2|1|2|1|-0.418735000377359|-0.160697213516981|-0.520114793584906|-0.377023128301887|-0.509495531698113|-0.551104284150943|-0.187450247737736|-0.473574786603774|-0.133373904258491|-0.0977433496415094|0.085352409154717|-0.219303376110566|0.114277342454717|0.0960860761792453|-0.0610838413018868|-0.194699963113208|0.0656835692641509
3|1|3|1|-0.307395198687755|0.0632200839346939|0.294322700810612|-0.253164344918367|-0.33758970122449|0.00937223889183673|-0.100453729040816|0.0825511487183673|-0.0756762067714286|0.119187142767959|0.0764915474326531|0.349613895469388|0.190000706165102|-0.00269512515918367|0.0899316865510204|0.0633382849183673|-0.0399768458163265
4|1|4|1|-0.0495135975489362|0.0759460768510638|0.238829870148936|0.256610823568085|0.0475437839595745|0.0923920032553192|0.189153021260851|0.0631270669787234|-0.0297839207446809|0.236655011680851|0.351852201957447|-0.000262186717021277|0.184775928085106|0.0274415479191489|0.0297097878297872|0.0676981338723404|-0.064881619087234
5|1|5|1|0.0865153619088679|0.117478948718868|0.244858585792453|0.314182940150943|0.0391618954943396|0.138581478749057|-0.120293020603774|-0.0447191978169811|0.100607635139623|0.284555290773585|0.422220102264151|-0.0286057725328302|0.334498734301887|-0.000222340747169812|0.021963782690566|-0.0337938382037736|-0.0279229321962264
6|1|6|1|-0.158792670508|0.097534841586|0.08943765522|0.132419092398|0.024513618956|0.02438794528|-0.003546795856|-0.091529130882|0.01045812566|0.08640856294|0.26639115416|-0.1397750127|0.17648590708|0.0213659655642|0.00306040735|-0.001666984698|0.08443716468
1|2|1|2|-0.14579548970339|0.198586466508475|0.0688995208186441|-0.0727101584479661|-0.263574018186441|-0.254846438755932|0.00727967988474576|-0.0427009322372881|0.139752115269492|0.393206208305085|0.20750092670339|0.305283825254237|0.126344614439492|-0.0301017378813559|0.0534005800847458|0.0216196774508475|-0.0858470827457627
2|2|2|2|-0.281748011416667|-0.0618894458958333|-0.236589092316958|-0.0491142923541667|-0.287688885375|-0.374218484791667|-0.115324433733333|-0.130357850675|-0.0773418117291667|0.107680395229167|-0.0119168233583333|-0.022752769044375|0.0467433991041667|0.0946511080666667|-0.00775466904166667|0.01538156125|-0.081031303125
3|2|3|2|-0.273711609659574|0.0119309606468085|0.0903678546504255|-0.143898149531915|-0.357514501744681|-0.234703932446809|-0.0375298023191489|0.0770894557234043|0.1367749584|0.0938321297617021|0.0188355111404255|0.103971241706383|-0.0512479640553192|-0.0243291092914894|-0.00637550521276596|0.366551180212766|-0.073580298587234
4|2|4|2|0.08519282071|0.150193956163043|0.0960646759586957|0.305546818084783|0.0262448647134783|0.0929030630369565|0.130523120891304|-0.192142737913043|0.0409472348676087|0.130934202854348|0.280062423956522|-0.106358909173913|0.1947221493|0.0395284311165435|-0.00339286689565217|0.0209731695434783|-0.0762041966043478
